"uri","movie","year","star"
"http://dbpedia.org/resource/Green_Card_(film)","Green Card (film)","1990 films","Andie MacDowell"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Ashley Judd"
"http://dbpedia.org/resource/Green_Card_(film)","Green Card (film)","1990 films","Gérard Depardieu"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","Joan Crawford"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Val Kilmer"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Ted Levine"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Diane Venora"
"http://dbpedia.org/resource/Gentleman's_Agreement","Gentleman's Agreement","1947 films","Dorothy McGuire"
"http://dbpedia.org/resource/Gattaca","Gattaca","1997 films","Ethan Hawke"
"http://dbpedia.org/resource/Gentleman's_Agreement","Gentleman's Agreement","1947 films","Anne Revere"
"http://dbpedia.org/resource/Going_My_Way","Going My Way","1944 films","Bing Crosby"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Jon Voight"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Tom Sizemore"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Mykelti Williamson"
"http://dbpedia.org/resource/Gentleman's_Agreement","Gentleman's Agreement","1947 films","June Havoc"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Amy Brenneman"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","Greta Garbo"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","Lionel Barrymore"
"http://dbpedia.org/resource/Gentleman's_Agreement","Gentleman's Agreement","1947 films","Gregory Peck"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","Jean Hersholt"
"http://dbpedia.org/resource/Gattaca","Gattaca","1997 films","Uma Thurman"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","John Barrymore"
"http://dbpedia.org/resource/Gentleman's_Agreement","Gentleman's Agreement","1947 films","Celeste Holm"
"http://dbpedia.org/resource/Going_My_Way","Going My Way","1944 films","Barry Fitzgerald"
"http://dbpedia.org/resource/Gentleman's_Agreement","Gentleman's Agreement","1947 films","John Garfield"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","Lewis Stone"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel (1932 film)","1932 films","Wallace Beery"
"http://dbpedia.org/resource/Going_My_Way","Going My Way","1944 films","Risë Stevens"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Ernest Borgnine"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Philip Ober"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Wes Studi"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Robert De Niro"
"http://dbpedia.org/resource/I'm_Sorry,_I'll_Read_That_Again","I'm Sorry, I'll Read That Again",,"Graeme Garden"
"http://dbpedia.org/resource/I'm_Sorry,_I'll_Read_That_Again","I'm Sorry, I'll Read That Again",,"Tim Brooke-Taylor"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Sharon Farrell"
"http://dbpedia.org/resource/Dreams_(TV_series)","Dreams (TV series)",,"John Stamos"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Thelma Barlow"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Herman Wedemeyer"
"http://dbpedia.org/resource/I'm_Sorry,_I'll_Read_That_Again","I'm Sorry, I'll Read That Again",,"Bill Oddie"
"http://dbpedia.org/resource/I'm_Sorry,_I'll_Read_That_Again","I'm Sorry, I'll Read That Again",,"John Cleese"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Julie Walters"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Al Harrington (actor)"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Maxine Peake"
"http://dbpedia.org/resource/Dinnerladies","Dinnerladies",,"Shobna Gulati"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Brad Goreski"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"Danny Kamekona"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Kelly Osbourne"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Margaret Cho"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"NeNe Leakes"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"William Smith (actor)"
"http://dbpedia.org/resource/Hawaii_Five-O","Hawaii Five-O",,"James MacArthur"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Kathy Griffin"
"http://dbpedia.org/resource/Fashion_Police","Fashion Police",,"Melissa Rivers"
