"uri","name"
"http://dbpedia.org/resource/Roger_Moore_(computer_scientist)","Roger Moore (computer scientist)"
"http://dbpedia.org/resource/Seiji_Ogawa","Seiji Ogawa"
"http://dbpedia.org/resource/Seth_Godin","Seth Godin"
"http://dbpedia.org/resource/Thomas_Smith_(finance_professor)","Thomas Smith (finance professor)"
"http://dbpedia.org/resource/Trip_Hawkins","Trip Hawkins"
"http://dbpedia.org/resource/Vikram_Seth","Vikram Seth"
"http://dbpedia.org/resource/William_Draper_Harkins","William Draper Harkins"
"http://dbpedia.org/resource/Yul_Kwon","Yul Kwon"
"http://dbpedia.org/resource/Anne_de_Graaf","Anne de Graaf"
"http://dbpedia.org/resource/Cal_Dooley","Cal Dooley"
"http://dbpedia.org/resource/Charles_Isherwood","Charles Isherwood"
"http://dbpedia.org/resource/Chitra_Subramaniam","Chitra Subramaniam"
"http://dbpedia.org/resource/Esther_Lederberg","Esther Lederberg"
"http://dbpedia.org/resource/Goodwin_Liu","Goodwin Liu"
"http://dbpedia.org/resource/Mark_Lippert","Mark Lippert"
"http://dbpedia.org/resource/Michael_Saunders_(academic)","Michael Saunders (academic)"
"http://dbpedia.org/resource/Stefan_Halper","Stefan Halper"
"http://dbpedia.org/resource/Angus_Macintyre","Angus Macintyre"
"http://dbpedia.org/resource/Brian_Harvey_(lecturer)","Brian Harvey (lecturer)"
"http://dbpedia.org/resource/Brian_Morris_(judge)","Brian Morris (judge)"
"http://dbpedia.org/resource/James_Bayley_(politician)","James Bayley (politician)"
"http://dbpedia.org/resource/James_Enstrom","James Enstrom"
"http://dbpedia.org/resource/John_Ordway_(ambassador)","John Ordway (ambassador)"
"http://dbpedia.org/resource/L._Gary_Leal","L. Gary Leal"
"http://dbpedia.org/resource/Martin_Hellman","Martin Hellman"
"http://dbpedia.org/resource/Michael_McFaul","Michael McFaul"
"http://dbpedia.org/resource/Nathaniel_Mackey","Nathaniel Mackey"
"http://dbpedia.org/resource/Pete_McCloskey","Pete McCloskey"
"http://dbpedia.org/resource/Skyler_Samuels","Skyler Samuels"
"http://dbpedia.org/resource/Sourav_Chatterjee","Sourav Chatterjee"
"http://dbpedia.org/resource/Vartan_Gregorian","Vartan Gregorian"
"http://dbpedia.org/resource/William_Milam","William Milam"
"http://dbpedia.org/resource/Candace_A._Yano","Candace A. Yano"
