"uri","name","occupation","city"
"http://dbpedia.org/resource/Eugene_England","Eugene England","Association of Mormon Letters","Logan, Utah"
"http://dbpedia.org/resource/Anand_Chandrasekaran","Anand Chandrasekaran","Chief Product Officer","Coimbatore"
"http://dbpedia.org/resource/Jeongdo_Hong","Jeongdo Hong","Business","Seoul"
"http://dbpedia.org/resource/Scott_Fox_(author)","Scott Fox (author)","Author","Detroit"
"http://dbpedia.org/resource/Matt_Gonzalez","Matt Gonzalez","Lawyer","McAllen, Texas"
"http://dbpedia.org/resource/Jeongdo_Hong","Jeongdo Hong","Mass media","Seoul"
"http://dbpedia.org/resource/Fuad_El-Hibri","Fuad El-Hibri","Chairman","Hildesheim"
"http://dbpedia.org/resource/Petras_Auštrevičius","Petras Auštrevičius","Member of the European Parliament","Vilnius"
"http://dbpedia.org/resource/Mercy_Malick","Mercy Malick","Aerialist","Los Angeles"
"http://dbpedia.org/resource/Brian_Witlin","Brian Witlin","Entrepreneur","Chicago"
"http://dbpedia.org/resource/Jeongdo_Hong","Jeongdo Hong","JTBC","Seoul"
"http://dbpedia.org/resource/Matt_Gonzalez","Matt Gonzalez","Activism","McAllen, Texas"
"http://dbpedia.org/resource/Jeongdo_Hong","Jeongdo Hong","JoongAng Ilbo","Seoul"
"http://dbpedia.org/resource/James_Paul_Gee","James Paul Gee","University Professor","San Jose, California"
"http://dbpedia.org/resource/Monis_Rahman","Monis Rahman","Rozee.pk","Lahore"
